hhid,sectiona1,sectiona2,sectiona3,sectiona4,sectiona5,sectiona6,sectiona7,sectiona8,sectiona9,sectiona10
175,9,male,17,not related,single,yes,did not complete any schooling,yes,,household work
175,10,male,50,not related,divorced,yes,4th grade,yes,,household work
176,1,male,55,household head,divorced,yes,did not complete any schooling,yes,,agriculture
176,2,female,22,child,single,yes,did not complete any schooling,yes,,household work
176,3,male,9,child,,yes,did not complete any schooling,yes,,agriculture
176,4,female,6,child,,yes,did not complete any schooling,no,too young,
176,5,female,1,child,,no,,,,
176,,,,,,,,,,
177,1,male,35,household head,married,yes,9th grade,yes,,agriculture
177,2,female,26,spouse,married,yes,6th grade,yes,,household work
177,3,male,10,other relation,,yes,2nd grade,yes,,student
177,4,male,9,child,,yes,2nd grade,yes,,student
177,5,female,5,other relation,,yes,did not complete any schooling,yes,,household work
177,6,female,4,child,,no,,,,
177,7,male,4,child,,no,,,,
178,1,male,50,household head,married,yes,6th grade,yes,,agriculture
178,2,female,44,spouse,married,yes,did not complete any schooling,yes,,household work
178,3,female,70,parent,widowed,yes,did not complete any schooling,no,too old,
178,4,male,26,child,single,yes,10nth grade,yes,,student
178,5,male,16,child,single,yes,4th grade,yes,,student
178,6,female,8,child,,yes,3rd grade,yes,,student
178,7,male,21,not related,single,yes,did not complete any schooling,yes,,agriculture
178,8,male,20,not related,single,yes,5th grade,yes,,agriculture
179,1,male,32,household head,married,yes,2nd grade,yes,,agriculture
179,2,female,24,spouse,married,yes,8th grade,yes,,household work
179,3,male,5,child,,yes,did not complete any schooling,no,too young,
180,1,male,55,household head,married,yes,3rd grade,yes,,agriculture
180,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
180,3,male,26,child,single,yes,10nth grade,yes,,student
180,4,male,22,child,single,yes,10nth grade,yes,,student
180,5,female,19,child,single,yes,9th grade,yes,,student
180,6,male,16,child,single,yes,7th grade,yes,,student
180,7,female,12,child,single,yes,7th grade,yes,,student
180,8,male,11,child,,yes,4th grade,yes,,student
182,1,male,27,household head,married,yes,2nd grade,yes,,agriculture
182,2,female,18,spouse,married,yes,8th grade,yes,,household work
183,1,male,61,household head,married,yes,7th grade,yes,,agriculture
183,2,female,54,spouse,married,yes,did not complete any schooling,yes,,household work
183,3,male,75,other relation,widowed,yes,did not complete any schooling,no,too old,
183,4,male,20,child,single,yes,8th grade,yes,,student
183,5,male,18,child,single,yes,5th grade,yes,,student
183,6,female,17,child,single,yes,5th grade,yes,,student
183,7,female,16,child,single,yes,3rd grade,yes,,student
183,8,male,8,child,,yes,1st grade,yes,,student
183,9,female,7,child,,yes,1st grade,yes,,student
183,10,female,4,child,,no,,,,
184,1,male,30,household head,married,yes,3rd grade,yes,,agriculture
184,2,female,26,spouse,married,yes,did not complete any schooling,yes,,household work
184,3,male,22,other relation,single,yes,did not complete any schooling,yes,,household work
184,4,female,6,child,,yes,did not complete any schooling,yes,,agriculture
184,5,female,2,child,,no,,,,
185,1,male,25,household head,married,yes,8th grade,yes,,agriculture
185,2,female,19,spouse,married,yes,9th grade,yes,,household work
186,1,male,39,household head,married,yes,3rd grade,yes,,agriculture
186,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
186,3,female,10,child,,yes,1st grade,yes,,student
186,4,male,8,child,,yes,did not complete any schooling,yes,,household work
186,5,female,5,child,,yes,did not complete any schooling,no,too young,
187,1,male,40,household head,married,yes,4th grade,yes,,agriculture
187,2,female,28,spouse,married,yes,2nd grade,yes,,household work
187,3,male,11,child,,yes,2nd grade,yes,,student
187,4,female,10,child,,yes,1st grade,yes,,student
187,5,female,9,child,,yes,did not complete any schooling,yes,,household work
187,6,male,8,child,,yes,did not complete any schooling,yes,,agriculture
188,1,male,70,household head,married,yes,did not complete any schooling,yes,,agriculture
188,2,female,56,spouse,married,yes,3rd grade,yes,,household work
189,1,female,48,household head,widowed,yes,did not complete any schooling,yes,,household work
189,2,male,11,child,,yes,3rd grade,yes,,student
189,3,female,8,child,,yes,2nd grade,yes,,student
189,4,male,30,not related,single,yes,did not complete any schooling,yes,,agriculture
190,1,male,66,household head,married,yes,did not complete any schooling,yes,,agriculture
190,2,female,59,spouse,married,yes,did not complete any schooling,yes,,household work
190,3,male,19,child,single,yes,2nd grade,yes,,student
190,101,male,14,child,single,yes,6th grade,yes,,student
191,1,male,54,household head,married,yes,did not complete any schooling,yes,,agriculture
191,2,female,35,spouse,married,yes,did not complete any schooling,yes,,agriculture
191,3,female,13,child,single,yes,7th grade,yes,,student
191,4,female,10,child,,yes,6th grade,yes,,student
191,5,female,8,child,,yes,3rd grade,yes,,student
191,6,male,7,child,,yes,did not complete any schooling,no,too young,
191,101,female,17,child,single,yes,8th grade,yes,,student
192,1,male,31,household head,married,yes,did not complete any schooling,yes,,agriculture
192,2,female,26,spouse,married,yes,did not complete any schooling,yes,,agriculture
192,3,male,10,child,,yes,2nd grade,yes,,livestock
192,4,male,7,child,,yes,did not complete any schooling,yes,,livestock
192,5,male,2,child,,no,,,,
193,1,male,57,household head,married,yes,did not complete any schooling,yes,,agriculture
193,2,female,50,spouse,married,yes,did not complete any schooling,yes,,agriculture
193,3,male,14,child,single,yes,8th grade,yes,,agriculture
193,4,male,11,child,,yes,6th grade,yes,,livestock
193,101,male,18,child,single,yes,9th grade,yes,,student
194,1,male,35,household head,married,yes,9th grade,yes,,agriculture
194,2,female,28,spouse,married,yes,4th grade,yes,,agriculture
194,3,female,10,child,,yes,4th grade,yes,,student
194,4,male,8,child,,yes,4th grade,yes,,student
194,5,male,5,child,,yes,did not complete any schooling,no,too young,
194,6,male,18,sibling,single,yes,4th grade,yes,,agriculture
195,1,male,55,household head,married,yes,4th grade,yes,,agriculture
195,2,female,48,spouse,married,yes,did not complete any schooling,yes,,household work
195,3,male,31,child,single,yes,completed university education,yes,,agriculture
195,4,male,29,child,single,yes,5th grade,yes,,student
195,5,male,27,child,single,yes,2nd grade,yes,,student
195,6,female,25,child,single,yes,8th grade,yes,,student
195,7,male,20,child,single,yes,5th grade,yes,,student
195,8,male,12,child,single,yes,5th grade,yes,,student
195,9,female,8,child,,yes,did not complete any schooling,yes,,household work
196,1,male,53,household head,married,yes,6th grade,yes,,agriculture
196,2,female,49,spouse,married,yes,other literacy program,yes,,household work
196,3,male,28,child,single,yes,completed university education,no,cannot find employment,
196,4,male,12,child,single,yes,6th grade,yes,,student
196,5,male,9,child,,yes,3rd grade,yes,,student
196,6,male,8,child,,yes,did not complete any schooling,no,too young,
196,101,male,16,child,single,yes,8th grade,yes,,student
196,102,female,18,child,single,yes,8th grade,yes,,student
197,1,male,49,household head,married,yes,2nd grade,yes,,agriculture
197,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
197,3,female,27,child,single,yes,3rd grade,yes,,household work
197,4,female,25,child,single,yes,6th grade,yes,,student
197,5,male,23,child,single,yes,5th grade,yes,,student
197,6,male,20,child,single,yes,4th grade,yes,,agriculture
197,7,male,18,child,single,yes,2nd grade,yes,,agriculture
197,8,female,16,child,single,yes,did not complete any schooling,yes,,household work
197,9,male,14,child,single,yes,did not complete any schooling,yes,,livestock
197,10,female,12,child,single,yes,did not complete any schooling,yes,,household work
198,1,male,38,household head,married,yes,5th grade,yes,,agriculture
198,2,female,28,spouse,married,yes,5th grade,yes,,household work
198,3,male,18,other relation,single,yes,did not complete any schooling,yes,,agriculture
198,4,male,10,child,,yes,2nd grade,yes,,student
198,5,female,7,child,,yes,did not complete any schooling,yes,,household work
199,1,male,30,household head,married,yes,3rd grade,yes,,agriculture
199,2,female,26,spouse,married,yes,8th grade,yes,,household work
199,3,male,5,child,,yes,did not complete any schooling,no,too young,
199,4,male,0,child,,no,,,,
200,1,male,47,household head,married,yes,7th grade,yes,,agriculture
200,2,female,39,spouse,married,yes,4th grade,yes,,household work
200,3,female,24,child,single,yes,12th grade,yes,,student
200,4,male,22,child,single,yes,12th grade,yes,,student
200,5,female,20,child,single,yes,10nth grade,yes,,student
200,6,female,18,child,single,yes,8th grade,yes,,student
200,7,female,15,child,single,yes,7th grade,yes,,student
200,8,male,13,child,single,yes,6th grade,yes,,student
200,9,male,9,child,,yes,2nd grade,yes,,student
200,10,male,6,child,,yes,did not complete any schooling,yes,,student
201,1,male,44,household head,married,yes,did not complete any schooling,yes,,agriculture
201,2,female,38,spouse,married,yes,did not complete any schooling,yes,,household work
201,3,male,14,child,single,yes,4th grade,yes,,student
201,4,male,10,spouse,,yes,did not complete any schooling,no,too young,
201,5,female,18,child,single,yes,6th grade,yes,,student
201,6,female,12,child,single,yes,4th grade,yes,,student
201,7,female,16,child,single,yes,5th grade,yes,,student
202,1,male,25,household head,married,yes,did not complete any schooling,yes,,agriculture
202,2,female,18,spouse,married,yes,4th grade,yes,,household work
202,3,female,4,child,,no,,,,
203,1,male,40,household head,married,yes,2nd grade,yes,,agriculture
203,2,female,27,spouse,married,yes,1st grade,yes,,household work
203,3,male,14,child,single,yes,6th grade,yes,,student
203,4,male,9,child,,yes,3rd grade,yes,,student
203,5,male,7,child,,yes,1st grade,yes,,household work
203,6,female,4,child,,no,,,,
203,7,female,1,child,,no,,,,
204,1,male,1,household head,,yes,did not complete any schooling,yes,,agriculture
204,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
204,3,male,20,child,single,yes,8th grade,yes,,student
204,4,male,18,child,single,yes,6th grade,yes,,student
204,5,male,18,not related,single,yes,8th grade,yes,,student
204,6,male,60,not related,divorced,yes,10nth grade,yes,,student
205,1,male,54,household head,married,yes,did not complete any schooling,yes,,agriculture
205,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
205,3,male,28,child,single,yes,10nth grade,yes,,agriculture
205,4,female,26,child,single,yes,4th grade,yes,,agriculture
205,5,female,24,child,single,yes,10nth grade,yes,,student
205,6,male,22,child,single,yes,7th grade,yes,,agriculture
205,7,male,18,child,single,yes,2nd grade,yes,,agriculture
205,8,male,16,child,single,yes,1st grade,yes,,agriculture
205,9,female,20,child,single,yes,8th grade,yes,,student
205,10,male,14,child,single,yes,1st grade,yes,,student
205,11,male,6,child,,yes,did not complete any schooling,no,too young,
205,12,female,12,child,single,yes,1st grade,yes,,student
205,13,female,10,child,,yes,1st grade,yes,,student
205,14,male,8,child,,yes,1st grade,yes,,student
206,1,female,47,household head,widowed,yes,did not complete any schooling,yes,,agriculture
206,2,male,26,child,single,yes,9th grade,yes,,household work
206,3,male,20,child,single,yes,5th grade,yes,,student
206,4,female,8,grandchild,,yes,did not complete any schooling,yes,,student
207,1,male,70,household head,married,yes,did not complete any schooling,yes,,agriculture
207,2,female,60,spouse,married,yes,did not complete any schooling,yes,,household work
207,3,male,18,child,single,yes,8th grade,yes,,student
207,4,male,21,not related,single,yes,3rd grade,yes,,student
208,1,male,70,household head,married,yes,did not complete any schooling,yes,,agriculture
208,2,female,60,spouse,married,yes,did not complete any schooling,yes,,household work
208,3,female,25,child,single,yes,did not complete any schooling,yes,,agriculture
209,1,male,35,household head,married,yes,did not complete any schooling,yes,,agriculture
209,2,female,25,spouse,married,yes,did not complete any schooling,yes,,agriculture
209,3,male,11,child,,yes,2nd grade,yes,,student
209,4,female,9,child,,yes,1st grade,yes,,student
209,5,male,6,child,,yes,did not complete any schooling,no,too young,
210,1,male,56,household head,married,yes,did not complete any schooling,yes,,agriculture
210,2,female,36,spouse,married,yes,2nd grade,yes,,household work
210,3,male,11,child,,yes,4th grade,yes,,student
210,4,female,9,child,,yes,4th grade,yes,,student
210,5,female,7,child,,yes,1st grade,yes,,student
210,6,male,0,child,,no,,,,
211,1,male,70,household head,married,yes,did not complete any schooling,yes,,agriculture
